,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Argentina,0.554768055063678,0.17005065754547455,0.06103188009609817,0.010559764728618675,0.140443360013159,0.01582686218047899,0.0001949691103046569,0.00086067988909736,0.0001951008907925632,0.02285442157125622,0.015377436358138919,0.007836812552903017
Belize,0.08241798233468464,0.05965151543433564,0.04990202082871279,0.09941517746870071,0.4284009076531641,0.06712269749590502,0.00019988225501780255,0.010844711430084834,0.03909876327182147,0.16186609238470231,0.00015193227877202995,0.0009283171640986079
Bolivia,0.34042878805057014,0.0005944826063772525,0.14510550448368623,0.01723074765125983,0.010708488761371782,0.1993256682765647,7.800283023765559e-05,0.2599166370436655,1.1021004683069039e-07,0.0020844307673780877,0.021535075587982903,0.0029920637308589607
Brazil,0.00011850249324284542,0.08677189126467286,0.03329421309444026,0.3021403601059907,0.25982910103545104,0.10757106801982325,0.025599982721332588,0.08451187469434598,0.021279274399409628,0.03456577237161278,0.0010506027855751486,0.04326735701410286
Chile,0.8882691831823463,0.004902008850212172,0.0006631072141144622,7.699377876656905e-05,0.03159808645018806,1.4895588682563637e-05,0.0005937594941951357,0.004387411711371873,0.01077107411335993,0.057509813115658705,0.0008685938917004918,0.0003450726094038472
Colombia,0.033644290039727284,0.001633864257724973,0.08669289438386892,0.39886695928511534,0.03056668448577692,0.05653523966877189,0.2850316299372936,0.024915291389904455,0.061420861455424934,0.004623741229914757,0.01590261375210009,0.00016593011437705292
Costa Rica,0.6913225073133422,0.09692329942110091,0.03244293872804696,0.028847146062722002,0.007267928395886586,0.032477435225682354,0.07016712303578777,0.021465027989407866,0.0005753386260935518,0.010752585313444342,0.0069267456583144375,0.0008319242301711125
Cuba,0.16399128351352726,0.20997002920484462,0.05360924223116776,0.1411475970227466,0.05112804089595955,0.2830061670819033,0.004255760265404243,0.006401026494979279,0.08045200007820572,0.0006750136013032288,0.0015166712171733778,0.0038471683927851627
Dominican Republic,0.17100986259080406,0.151766834174199,0.1028410768968488,0.06268571559446418,0.3317464140882048,0.0005153763564380611,0.1301856757262192,7.50168400355076e-05,0.017361318561661943,0.022110606521318427,0.00763772332595294,0.0020643793238529842
Ecuador,0.012609231576620566,0.1394658086665472,0.07325872674695358,0.3410055432177882,0.027491884031108492,0.00043176234499151764,0.2895044008512331,0.10445754890710658,4.1285582465399374e-05,4.224591636205883e-05,0.003396927347677673,0.008294634811145743
