,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
HDI,0.8496389797910254,0.9610455193258873,0.9616800858908336,0.963929742685323,1.0052889687159299,1.0127041671568824,1.0155758657628078,1.0162518793586977,1.0164209982186454,1.0178843883452815,1.0185973880079087,1.043478260869565
LifeExpect,0.5797205156137222,0.6390136155080893,0.6611751034288489,0.7140824673703515,0.7341813574659399,0.7640543256468002,0.7682468287110502,1.0305892954038725,1.039789360057145,1.0401752232227175,1.0413630989066835,1.0434782608695672
MeanYSchooling,0.3115630870722019,0.8514393283612326,0.8564792303357203,0.856728894575691,0.8572374087319456,0.880443593963415,0.8821192873416066,0.9718933784804711,1.0341514564682763,1.0394872620792703,1.0395712359651204,1.043478260869566
GNIperCapita,0.6911450591168813,0.6927867908210977,0.6940875387026229,0.7125398140664145,0.8720842823378441,0.9327909428814201,0.9362960837973723,0.9738589797876074,1.0310308896649387,1.0330751229906836,1.0413398352523067,1.0434782608695659
Homicide Rate,0.0909148528851842,0.13035650539221955,0.6688752829329658,0.6690981141924757,0.8133710463037407,0.971393142516495,1.0272165784390583,1.0332931340562506,1.0336823997989268,1.0397800972708757,1.0432142119794934,1.0434782608695665
PolStability,0.5338668006649849,0.6011210409344264,0.6013640395127918,0.6663955339770644,0.8273996515793427,0.829549276797689,0.970649297090135,0.9751896105386815,0.9946983727006022,1.0434413866908494,1.0434502068680556,1.043478260869566
GovEffect,0.8193207010528164,0.8375529953649442,0.8884380430979507,0.9112977065210348,0.9349250221108171,0.9467213291232797,1.0014040152723247,1.0050633000515568,1.0070905653979911,1.0208830796653519,1.0409204976094735,1.0434782608695652
CorruptionControl,0.5624895813295374,0.7223763052069343,0.7666207874192287,0.801388411023384,0.8911428843185257,0.9349314530970123,0.9607888882400417,0.9618321832874845,0.9800716676208264,1.0375338262056428,1.0426414683616954,1.0434782608695654
DrugsDeaths100K,0.1675858817842047,0.2829767508337845,0.3808606206718179,0.6512832408917768,0.8043379272195866,0.9012638508927846,0.9916552949564381,1.0227697778764542,1.0400851132421647,1.0430836206077123,1.043452820373889,1.0434782608695652
Inflation Rate,0.10392281324147272,0.6586908113437806,0.7371546293654775,0.8345021271098969,0.8369504073238264,0.8431448652269916,0.997967193150303,0.9994134219581465,1.0241577152796946,1.0414689901013137,1.0434782551491484,1.0434782608695643
Unemployment Rate,0.04599103118751813,0.24417715891408204,0.2621158926841819,0.9115401860131762,0.9439789943505773,0.995579898376196,1.0071958775282674,1.0081622806520314,1.023653016874212,1.041133028094346,1.0433836922099191,1.043478260869565
Rule of Law,0.0005464959514451237,0.004687696745124888,0.5382035967036749,0.538263677334353,0.6554525565200368,1.029699296785757,1.0330816670778395,1.0334438367487593,1.0379790594471945,1.0434533232151924,1.0434703231507167,1.0434782608695643
