,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Argentina,0.04114732205381158,0.03209112330962956,0.015481713167198654,0.0030688364415549603,0.05241646196119009,0.006448380340822052,0.00012508410816350061,0.0006908054603939101,0.0002979137664743027,0.04514946389650447,0.12476535755958305,0.07501818339437913
Belize,0.0021662901410662576,0.00398926236122452,0.004485851740159096,0.010238508777455807,0.05666062867624665,0.009691471892003535,4.5443846199464766e-05,0.003084584139424341,0.021157232317164612,0.11331900713803209,0.00043684225809664296,0.003149111072909201
Bolivia,0.026803270272463563,0.00011909050383197796,0.039073069714838704,0.005315633124473713,0.0042425410578003295,0.08620856778791701,5.3122446021597576e-05,0.22145197724632593,1.7864212798782033e-07,0.004371205411361224,0.18547605679766288,0.030403900351169626
Brazil,2.9506707419544833e-06,0.005497291913765258,0.002835268254356448,0.029477549344943715,0.03255497866592942,0.014713447277673904,0.005513649196646639,0.02277167486206596,0.010908154159632836,0.022924071880788335,0.0028616186485711553,0.13904346547398266
Chile,0.1494627902066645,0.002098645355328352,0.00038159649829831396,5.0761388728863495e-05,0.02675380978103497,1.3768031658414088e-05,0.0008641820739650201,0.00798878726601915,0.037312014188877966,0.2577405078226659,0.015987671195457877,0.007493693601466041
Colombia,0.0016263769725786367,0.00020095660910968288,0.014332616780284071,0.0755487495972915,0.007435232342442524,0.015012560833965722,0.11918156962293022,0.013033462153080225,0.06112613569856111,0.005953270310605375,0.0840927017828131,0.0010352184765585934
Costa Rica,0.07933751152475638,0.028301049510341462,0.012733570649158624,0.012971497059857399,0.004197057119792581,0.020474122508851757,0.06965266604914386,0.026657125293026118,0.0013593227939834546,0.03286722277198232,0.08695750412560549,0.012321926255708895
Cuba,0.016408503053469504,0.05345421783846736,0.01834509662620822,0.05533641963729893,0.025742084462769592,0.15554991961871256,0.003683252978774156,0.006930774967656386,0.16572431482156674,0.0017989245738543273,0.016600439607658196,0.049680544496556116
Dominican Republic,0.013350038359163237,0.030144959435209347,0.027457444163798604,0.019174290970572078,0.1303178644707866,0.00022100980465470475,0.08790847644905207,6.337297538633316e-05,0.02790263712395547,0.04597420678894946,0.06522366888117177,0.020799256464112247
Ecuador,0.00025917864958958876,0.007293816356732306,0.005149939249030137,0.027463849502173697,0.002843488439190104,4.875072289099646e-05,0.05147210955435014,0.023234557662985322,1.747069602585718e-05,2.3128505464290963e-05,0.0076379499306400275,0.022004161593032652
