,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Argentina,0.9937483229125361,0.877602962296225,-0.6095581317747862,0.2713891571108158,-1.1216038012901715,-0.393396909214764,-0.05479067982717512,0.12876075119947789,0.0845572610447102,-1.0409549142571484,-1.7304243934451435,1.3418034138669863
Belize,-0.2280152700710858,-0.3094225212704927,0.3281165063873171,0.49570577024979184,1.166128246905082,-0.4822813757632414,-0.03302502549260415,0.2720845812356595,0.7125823290062354,-1.6491380085707714,-0.10239245184250366,-0.2749157430010526
Bolivia,-0.8020464366476081,0.05346187512580784,-0.9683768239461996,-0.35717669995027546,-0.3190940071314532,-1.4384038469463325,0.03570628382397616,-2.3053952923331438,-0.0020706064502236266,-0.32389648017950023,2.109840127389729,0.8542210536085323
Brazil,-0.00841523011015787,-0.36322858633423416,0.26085712201232836,0.841107118195209,-0.8839227839479566,0.5942413101292889,-0.3637685812704546,0.7392700431436289,0.5116597500597326,-0.7417396612956059,0.26206649454996667,1.8267575568135974
Chile,1.8939659355331468,0.2244270227220431,0.09569909069139337,0.034903772424950345,-0.8013060805615039,-0.01817780954355992,0.14401517203114567,0.43787086496415767,0.9463024572160168,2.487121265186718,-0.6194385431106051,-0.42408565931328657
Colombia,0.19756782972409068,-0.06944752420808382,0.5865004712076689,1.3465400069567173,-0.42242819060595443,0.6002511641098061,-1.6912591968560955,0.5592880221083993,1.2112090062270289,0.3779927082028554,1.4206424049659767,0.1576237400818996
Costa Rica,1.379891400289948,-0.82415119259041,0.5528161498905463,0.5579569243557944,-0.3173789074198567,0.7009842653101724,1.29292845323299,0.7998568665909087,0.1806204502696273,-0.8881516461323347,1.444638397321119,0.5438071626385712
Cuba,0.6275381050448396,1.132652297981696,-0.6635377299212135,-1.1524209609752742,0.7860089230450696,-1.9321485633483524,0.29731813178913213,-0.4078462936251269,1.9943378740117237,0.20778399787400342,-0.6311977111680591,-1.0919400477669763
Dominican Republic,0.5660396811354463,-0.8505757029477297,0.8117750057319864,-0.6783678819738814,1.768510318686006,-0.07283018132417984,1.452516242517532,0.03899937703697324,-0.8183295735673564,-1.0504194223903074,-1.2511466952952088,0.7065282408642233
Ecuador,-0.07886879985235055,0.4183916736284021,0.3515658430176676,-0.8118696866198225,0.2612349948620255,0.034205516358972204,-1.1114542857465632,0.7467458630027003,0.02047673569250168,-0.023560223495183216,-0.42814810327194097,0.7267048081805869
El Salvador,-0.3730957156461865,-0.30587994567599763,-0.5657181920167857,-0.4543192192843978,0.5739736838022054,-1.1363813764096011,-0.5315259491360832,1.1587534658529703,-1.7419144474778114,0.6165914326016602,1.1763053508432466,-0.46361370695534077
Guatemala,-1.4305274122435718,-0.9727093695093602,0.3257163887057089,-2.0157011523474146,-0.9999896062485819,0.5570271415793946,0.6467362796453566,0.031426398786567944,-1.1634321154217055,1.1011820638870622,-0.008001331490521965,0.09221773716644584
Guyana,0.16578051887578035,-0.8762776779978915,-0.05907365439237856,1.8113895093984085,-0.4807340758333355,0.07780506745450241,-0.3844482535964734,-2.0421660881035493,-1.3648380310188186,-0.11167071861134747,-0.3834053928242753,-0.643795497907497
Haiti,-1.7396075973171854,-1.8380549630158096,-0.37350384917516055,2.1855413023549564,0.27559993067987193,-1.1686643935235717,0.29573857759739525,0.35157962060093495,0.7027131584239664,1.2933266331684439,-1.4272949649229256,-0.58915076841471
Honduras,-1.5494272440483585,-0.843822728171578,1.367490299087689,-1.399466454581373,-0.8952925034323738,1.5304068828515178,0.5962370124989496,-0.4135906638068706,1.9204435528071757,-0.1827124434545002,-0.20444132317432875,-0.6831006151046592
Jamaica,0.13552445516151657,0.17047148826585135,1.6682568300642104,-0.2805113734938023,2.433097038356773,0.48396718036555086,-2.030762830632331,-0.7748636593063548,0.08398772808351593,-0.08923344020304746,0.30127895794933524,-0.52186580940112
Mexico,-0.2071959177983038,0.6340043693907088,0.09339469899554767,-0.5730400513380948,-0.7218783222473141,0.2827870152819146,-1.7439849477535112,-0.9129121891413475,-1.1144761213436731,0.2816842033726253,-1.8582845939733237,1.158329052287067
Nicaragua,-0.8090630605817455,0.04141397740299064,-0.7705452517690339,-0.3051295259163873,-0.34204328739236683,-0.8370460344721306,-0.5400804075827451,2.6808565152633435,-0.7438759270235,-0.9720862416856916,0.04503540332896211,-0.7176079748319258
Panama,1.1752383678942684,0.3364820870587579,0.002466323067849885,-0.04740851691220288,-1.406183935182765,0.7525279293538241,-0.16605355099981664,-0.33559290546156884,-0.9868467406796182,-1.1876357742869426,-0.009431483510847626,-3.1843134688289187
Paraguay,-0.2485146795860784,0.3315936944646087,-3.3793970245926657,0.04375115459100943,1.5454706423993991,2.7917996942391703,0.24388302487760935,-0.08306597984334264,0.30119483596483176,0.32562016292502294,-0.0102971463480905,-0.002889519654385233
Peru,0.06566108752581204,0.5065173769565612,-0.4524333207905951,-0.6862227071162365,-0.7249023776855582,-0.5794499153860919,-0.44670458625397547,-0.037634744473997804,0.5058537571194635,0.374182808895353,1.1229529833301373,0.5015965633697423
Suriname,0.029772839393263455,-0.12536121115963114,-0.43416903674030716,-0.043060365053189734,-0.42749537562161904,-0.6348852449957681,1.2822945813051632,-0.7663574206875421,0.43987873215718165,-1.0905390025914767,-0.07821986682536157,0.15368357513256975
Uruguay,1.739523134009304,-0.7646000091831916,0.5172938388421789,-0.18863190912178707,0.7899784822144601,-0.10887006310408028,1.053812415101549,-0.05833004908310412,-0.9411431576357466,1.6300707025679178,0.582506463476794,0.5823460864023596
Venezuela,-1.4954743135973345,3.41651260677074,1.3143644474170268,1.4050417890465021,0.2642509936499298,0.39653254699754936,1.7566721207270242,0.19226291608015209,-0.7388909074653003,0.6561819984722178,0.276857418047886,-0.04834017923257011
