,HDI,LifeExpect,MeanYSchooling,GNIperCapita,Homicide Rate,PolStability,GovEffect,CorruptionControl,DrugsDeaths100K,Inflation Rate,Unemployment Rate,Rule of Law
Argentina,1.611580973870124,0.997071461262098,1.3206017910968086,1.2067889479246652,-0.9419443724948929,0.1644904465899656,-0.04650496257175552,-0.025521928624606782,-0.8319866255054041,-0.08381405270851339,0.12323755938668442,-0.21008365361148337
Belize,-0.6029645775480941,-0.3086702296557535,-0.08940244233730857,-0.9798381224115283,0.6376645892451384,0.5175963454420183,-0.27376422781298737,0.25062794147529416,-0.6208480256792595,-0.22693438449637904,0.5221270755430103,-0.22772244854075457
Bolivia,-0.4776129425621586,-2.1473677127849706,0.5236428765470905,-0.7102498642871563,-1.0697418814597899,-0.3429531299060309,-0.7543007582880219,-0.8115898948863607,0.31419434497938253,-0.23472367689014342,-0.8160829141427289,-0.24689015361444264
Brazil,0.38592054289651884,0.30422893138731816,-0.5185341655563885,0.22612799786625315,0.14552511372814378,-0.6076656315620068,-0.22332116660290072,-0.1954946273452245,0.10305574515323744,-0.21078585148491633,1.3070387041086846,-0.1978362786651554
Chile,1.7926444466275886,1.9297440976319908,1.1979927273199293,1.751052035081416,-0.9816330398752957,0.3412772409821192,1.6982939757055522,1.8861132787713155,-0.31922145449905226,-0.22281809176796696,0.2802198850998191,-0.13574643301084113
Colombia,0.358064624010755,0.30422893138731816,-0.028097910448868873,0.22822246824013856,0.7249796574820246,-1.2914283125179022,0.6618218127361957,0.16541853083057526,-0.6208480256792595,-0.2259844707898224,1.4511536260748412,-0.20932724543477194
Costa Rica,1.151958312255023,1.4234360950311904,-0.08940244233730857,1.0645145675271748,-0.37836529569317323,1.5324834984340112,1.1418273636195455,1.249050250495615,0.19354371650729962,-0.23168395302916217,1.7702652389999023,-0.1625747825976068
Cuba,0.5252001373253378,0.5440590378824349,2.1788652375349677,-0.744958230482969,-0.9340066390188124,0.6719340230859621,0.20624132307036197,0.6967505102958128,-0.7414986541513422,-0.23038573763020145,-1.7469109011991364,-0.20472442121052778
Dominican Republic,-0.08763007816146556,0.30422893138731816,-0.5185341655563885,-0.20503368910069464,0.6932287235777023,2.4145467106657614,0.5354486699151372,1.333813538571513,0.19354371650729962,-0.21110248938710185,-0.14440443855046348,-0.14725349357145148
Ecuador,0.1909291106961723,0.5440590378824349,-0.08940244233730857,-0.3809692005070551,0.7091041905298633,-0.32097170309007533,0.231728343471248,-0.38688120936922693,-0.13824551179092806,-0.23665516809347523,-0.9679182783570723,-0.19936518880957219
